"","name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"885","GEO CARE RRC LAS VEGAS","Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"886","HIGH DESERT STATE PRISON INDIAN VALLEY","Nevada","state","Prison","Max/Med","A","M",NA,NA,3669,4176,10003004,"290000000073200000000","Current","HIFLD","HIFLD",36.51602216,-115.5846619,32003,89070,"INDIAN SPRINGS","CLARK"
"887","INDIAN SPRINGS SOUTHERN TRAINING CENTER","Nevada","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,36.517043,-115.5561307,32003,20825,"INDIAN SPRINGS",NA
"888","LOVELOCK CORRECTIONAL CENTER","Nevada","state","Prison",NA,"A","M",NA,NA,1681,1680,10002991,"290000000072100000000","Current","HIFLD","Public Records",NA,NA,32027,89419,"LOVELOCK","PERSHING"
"889","NORTHERN NEVADA CORRECTIONAL CENTER","Nevada","state","Prison","Med/Min","A","M",NA,NA,1411,1619,10002996,"290000000070600000000","Current","HIFLD","Public Records",NA,NA,32510,89701,"CARSON CITY","CARSON CITY (CITY)"
"890","PIOCHE CONSERVATION CAMP","Nevada","state","Work Camp",NA,"A","M",NA,NA,213,238,10003002,"290000000070800000000","Current","HIFLD","Public Records",NA,NA,32017,89043,"PIOCHE","LINCOLN"
"891","SOUTHERN DESERT CORRECTIONAL CENTER","Nevada","state","Prison","Med","A","M",NA,NA,2150,2149,10003005,"290000000070900000000","Current","HIFLD","HIFLD",36.51489012,-115.5545967,32003,89070,"INDIAN SPRINGS","CLARK"
"892","STATEWIDE","Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"893","STEWART TRAINING FACILITY NDOC","Nevada","state","Work Camp","Min","A","M",NA,NA,NA,360,NA,"290000000070700000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"894","TONOPAH CONSERVATION CAMP","Nevada","state","Work Camp",NA,"A","M",NA,NA,147,152,10002998,"290000000071900000000","Current","HIFLD","Public Records",NA,NA,32023,89049,"TONOPAH","NYE"
"895","ALL OTHER STAFF WORKSITES","New Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"896","BERLIN FEDERAL CORRECTIONAL INSTITUTION","New Hampshire","federal","Prison","Med","A","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"897","FIELD SERVICES","New Hampshire","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"898","HAMPSHIRE HOUSE RRC","New Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,33011,NA,NA,NA
"899","STATE PRISON FOR MEN","New Hampshire","state","Prison","Max/Min","A","M",NA,NA,1353,1408,NA,"300000000070100000000","Current","Public Records","Public Records",NA,NA,33013,NA,NA,NA
"900","CORRECTIONAL FACILITY FOR WOMEN","New Hampshire","state","Prison","Max/Med","A","M",NA,NA,162,105,10004121,"300000000070500000000","Current","HIFLD","HIFLD",43.01027263,-71.53962687,33011,3045,"GOFFSTOWN","HILLSBOROUGH"
"901","STATE PRISON FOR MEN","New Hampshire","state","Prison","Max/Min","A","M",NA,NA,1353,1408,10004118,"300000000070100000000","Current","HIFLD","HIFLD",43.22710849,-71.55881796,33013,3302,"CONCORD","MERRIMACK"
"902","NORTHERN NEW HAMPSHIRE CORRECTIONAL FACILITY","New Hampshire","state","Prison","Med","A","M",NA,NA,782,665,10004116,"300000000070700000000","Current","HIFLD","HIFLD",44.51284996,-71.1450773,33007,3570,"BERLIN","COOS"
"903","SECOR INC LEBANON","New Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"904","SECURE PSYCHIATRIC UNIT AND RESIDENTIAL TREATMENT UNIT","New Hampshire","state","Prison Unit",NA,"A","M",NA,NA,56,NA,NA,"300000000070400000000","Current","Public Records",NA,43.22712,-71.55698,33013,3301,"CONCORD",NA
"905","STATEWIDE","New Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"906","TRANSITIONAL WORK CENTERS AND TRANSITIONAL HOUSING UNITS","New Hampshire","state","Transitional Center",NA,"A","B",NA,NA,146,NA,NA,NA,"Current","Public Records",NA,NA,NA,NA,NA,NA,NA
"907","WARREN B RUDMAN U S COURTHOUSE RRC","New Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"908","ADULT DIAGNOSTIC AND TREATMENT CENTER","New Jersey","state","Prison",NA,"A","M",NA,NA,472,700,10002298,NA,"Current","HIFLD","HIFLD",40.58959315,-74.27158104,34023,7095,"WOODBRIDGE","MIDDLESEX"
"909","BAYSIDE STATE PRISON","New Jersey","state","Prison",NA,"A",NA,NA,NA,1383,2206,10004018,"310000000070300000000","Current","HIFLD","Public Records",39.24379689,-74.95144898,34011,8327,"LEESBURG","CUMBERLAND"
"910","BO ROBINSON ASSESSMENT AND TREATMENT","New Jersey","state","Transitional Center",NA,NA,NA,"Different Operator","GeoGroup",NA,NA,NA,"318000000074200000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"911","CENTRAL OFFICE HEADQUARTERS","New Jersey","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,40.2428226,-74.7920944,NA,8618,"TRENTON",NA
"912","CENTRAL RECEPTION AND ASSIGNMENT FACILITY","New Jersey","state","Reception Center","Max/Min","A","M",NA,NA,633,562,10002301,NA,"Current","HIFLD","HIFLD",40.24759594,-74.80452607,34021,8628,"TRENTON","MERCER"
"913","CLINTON HOUSE","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,40,NA,"318000000074300000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"914","COLUMBUS HOUSE","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"915","CORRECTIONAL STAFF TRAINING ACADEMY","New Jersey","state","Administrative",NA,NA,NA,NA,NA,NA,200,10001515,NA,"Current","HIFLD","HIFLD",40.34246128,-74.39847856,34023,8831,"MONROE TOWNSHIP","MIDDLESEX"
"916","CURA INC","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"917","CUSTODY RECRUITMENT UNIT","New Jersey","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,40.24115,-74.79147,NA,8618,"TRENTON",NA
"918","EAST JERSEY STATE PRISON","New Jersey","state","Prison","Max","A","M",NA,NA,1227,1227,10003996,"310000000070200000000","Current","HIFLD","HIFLD",40.59056403,-74.26959748,34023,7065,"RAHWAY","MIDDLESEX"
"919","EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN","New Jersey","state","Prison","Max/Min","B","F",NA,NA,570,709,10003993,"310000000070400000000","Current","HIFLD","HIFLD",40.62888669,-74.93457377,34019,8809,"CLINTON","HUNTERDON"
"920","FAIRTON FEDERAL CORRECTIONAL INSTITUTION","New Jersey","federal","Prison",NA,NA,NA,NA,NA,1013,878,10001520,"316006666070100000000","Current","HIFLD","HIFLD",39.3848261,-75.16020169,34011,8320,"FAIRTON","CUMBERLAND"
"921","FORT DIX FEDERAL CORRECTIONAL INSTITUTION","New Jersey","federal","Prison",NA,NA,NA,NA,NA,NA,NA,NA,"316003666070200000000","Current",NA,NA,NA,NA,34005,NA,NA,NA
"922","FENWICK HOUSE","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,NA,NA,"318000000074700000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"923","FLETCHER HOUSE","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,NA,NA,"318000000076100000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"924","FORT DIX FEDERAL CORRECTIONAL INSTITUTION","New Jersey","federal","Prison",NA,NA,NA,NA,NA,3114,4041,10000770,"316003666070200000000","Current","HIFLD","HIFLD",39.99963048,-74.61453854,34005,8640,"FORT DIX","BURLINGTON"
"925","FORT DIX NJ","New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,34005,NA,NA,NA
"926","GARDEN STATE YOUTH CORRECTIONAL FACILITY","New Jersey","state","Prison","Max/Min","B",NA,NA,NA,1591,1511,10004004,"310000000070600000000","Current","HIFLD","HIFLD",40.15916829,-74.67634386,34005,8515,"CROSSWICKS","BURLINGTON"
"927","GARRETT HOUSE","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,NA,NA,"318000000076200000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"928","HOPE HALL","New Jersey","state","Transitional Center",NA,"A",NA,"Different Operator","Volunteers of America",-999,175,10006939,"318000000075000000000","Current","HIFLD","Public Records",NA,NA,18163,47711,"EVANSVILLE","VANDERBURGH"
"929","JAMES A HEMM HOUSE","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,60,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"930","KINTOCK BRIDGETON 1","New Jersey","state","Transitional Center",NA,"A",NA,"Different Operator",NA,NA,NA,NA,"318000000075400000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"931","KINTOCK BRIDGETON 2","New Jersey","state","Transitional Center",NA,"A",NA,"Different Operator",NA,NA,NA,NA,"318000000075400000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"932","KINTOCK GROUP THE RRC NEWARK","New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,40.7023071,-74.1926149,34013,7114,"NEWARK",NA
"933","KINTOCK NEWARK","New Jersey","state","Transitional Center",NA,"A",NA,"Different Operator",NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"934","MID STATE CORRECTIONAL FACILITY","New Jersey","state","Prison","Med/Min","A","M",NA,NA,665,700,10001516,NA,"Current","HIFLD","HIFLD",39.99856358,-74.58339291,34005,8562,"WRIGHTSTOWN","BURLINGTON"
"935","MOUNTAINVIEW YOUTH CORRECTIONAL FACILITY","New Jersey",NA,NA,NA,NA,NA,NA,NA,675,710,10001512,"310000000071000000000","Previous","HIFLD","HIFLD",40.64949159,-74.86623637,34019,8801,"ANNANDALE","HUNTERDON"
"936","NEW JERSEY STATE PRISON","New Jersey","state","Prison","Max","A","M",NA,NA,1401,1819,10004003,"310000000070100000000","Current","HIFLD","HIFLD",40.20727335,-74.75636872,34021,8608,"TRENTON","MERCER"
"937","NORTHERN STATE PRISON","New Jersey","state","Prison","Max/Min","A","M",NA,NA,2378,2615,10003990,"310000000071500000000","Current","HIFLD","HIFLD",40.71279184,-74.17351794,34013,7114,"NEWARK","ESSEX"
"938","SOUTH WOODS STATE PRISON","New Jersey","state","Prison","Max/Med","A","M",NA,NA,3351,3327,10001519,"310000000072800000000","Current","HIFLD","HIFLD",39.41308561,-75.20767164,34011,8302,"BRIDGETON","CUMBERLAND"
"939","SOUTHERN STATE CORRECTIONAL FACILITY","New Jersey","state","Prison",NA,"A","M",NA,NA,2017,2000,10004017,"310000000071300000000","Current","HIFLD","HIFLD",39.23464849,-74.95441994,34011,8314,"DELMONT","CUMBERLAND"
"940","STATEWIDE","New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"941","STU","New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"310000000072700000000","Previous",NA,NA,40.58905,-74.27426,NA,7001,"AVENEL",NA
"942","THE HARBOR HOUSE","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,NA,NA,"318000000074900000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"943","TOLER HOUSE RRC","New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"944","TULLY HOUSE","New Jersey","state","Transitional Center",NA,"A",NA,NA,NA,NA,NA,NA,"318000000076000000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"945","WILLIAM H FAUVER YOUTH CORRECTIONAL FACILITY","New Jersey","state","Prison","Max","J","M",NA,NA,NA,808,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"946","CENTRAL NEW MEXICO CORRECTIONAL FACILITY","New Mexico","state","Prison","Max/Min","A","M",NA,NA,NA,NA,NA,"320000000070700000000","Current",NA,NA,NA,NA,35061,NA,NA,NA
"947","DISMAS CHARITIES ALBUQUERQUE RRC","New Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"328001666071700000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"948","GUADALUPE COUNTY CORRECTIONAL FACILITY","New Mexico","state","Prison","Max/Min","A","M","Different Operator","GeoGroup",588,600,10001246,"328000000071500000000","Current","HIFLD","HIFLD",NA,NA,35019,88435,"SANTA ROSA","GUADALUPE"
"949","LEA COUNTY CORRECTIONAL FACILITY","New Mexico","state","Prison","Med","A","M","Different Operator","GeoGroup",1150,1200,10003790,"328000000071600000000","Current","HIFLD","HIFLD",NA,NA,35025,88240,"HOBBS","LEA"
"950","NORTHEAST NEW MEXICO CORRECTIONAL FACILITY","New Mexico","state","Prison","Med","A","M",NA,NA,NA,NA,NA,"328000000071700000000","Current",NA,NA,NA,NA,35059,NA,NA,NA
"951","NORTHWEST NEW MEXICO CORRECTIONAL CENTER","New Mexico","state","Transitional Center",NA,"A","M",NA,NA,-999,-999,10003781,NA,"Current","HIFLD","HIFLD",NA,NA,35006,87020,"GRANTS","CIBOLA"
"952","OTERO COUNTY PRISON FACILITY","New Mexico","state","Prison",NA,"A","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,35035,NA,NA,NA
"953","OTERO COUNTY PRISON FACILITY RRC CHARPARRAL","New Mexico",NA,NA,NA,NA,NA,NA,NA,1004,1418,10003791,NA,"Previous","HIFLD","HIFLD",32.07842312,-106.2780732,35035,88081,"CHAPARRAL","OTERO"
"954","PENITENTIARY OF NEW MEXICO","New Mexico","state","Prison","Max","A","M",NA,NA,NA,790,NA,"320000000071600000000","Current",NA,"Public Records",NA,NA,35049,NA,NA,NA
"955","ROSWELL CORRECTIONAL CENTER","New Mexico","state","Prison","Min","A","M",NA,NA,339,340,10001249,"320000000070600000000","Current","HIFLD","Public Records",NA,NA,35005,88232,"HAGERMAN","CHAVES"
"956","SOUTHERN NEW MEXICO CORRECTIONAL FACILITY","New Mexico","state","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,"320000000070800000000","Current",NA,NA,NA,NA,35013,NA,NA,NA
"957","SPRINGER CORRECTIONAL CENTER","New Mexico","state","Prison","Min","A","M",NA,NA,271,294,10003769,"320000000071300000000","Current","HIFLD","HIFLD",NA,NA,35007,87747,"SPRINGER","COLFAX"
"958","STATEWIDE","New Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"959","WESTERN NEW MEXICO CORRECTIONAL FACILITY","New Mexico","state","Prison","Max/Med","A","F",NA,NA,NA,388,NA,"320000000070900000000","Current",NA,"Public Records",NA,NA,35006,NA,NA,NA
"960","ADIRONDACK CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,398,566,10003134,"330000000072300000000","Current","HIFLD","HIFLD",44.2959809,-74.09147654,36031,12977,"RAY BROOK","ESSEX"
"961","ALBION CORRECTIONAL FACILITY","New York","state","Prison","Med","A","F",NA,NA,1083,1234,10003145,"330000000070300000000","Current","HIFLD","HIFLD",43.24495011,-78.21490278,36073,14411,"ALBION","ORLEANS"
"962","ALTONA CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,739,512,10001496,"330000000074600000000","Current","HIFLD","HIFLD",44.89132118,-73.65994966,36019,12910,"ALTONA","CLINTON"
"963","ATTICA CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,2009,2253,10002287,"330000000070200000000","Current","HIFLD","HIFLD",42.84963649,-78.27130142,36121,14011,"ATTICA","WYOMING"
"964","AUBURN CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,1601,1821,10000745,"330000000070400000000","Current","HIFLD","HIFLD",42.93458853,-76.57422546,36011,13024,"AUBURN","CAYUGA"
"965","BARE HILL CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,1424,1722,10003131,"330000000075800000000","Current","HIFLD","HIFLD",44.88036405,-74.32415649,36033,12953,"MALONE","FRANKLIN"
"966","BEDFORD HILLS CORRECTIONAL FACILITY","New York","state","Reception Center","Max","A","F",NA,NA,823,921,10002290,"330000000072000000000","Current","HIFLD","HIFLD",41.23840338,-73.68078525,36119,10507,"BEDFORD HILLS","WESTCHESTER"
"967","BRONX CCC","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"338031666070400000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"968","BROOKLYN HOUSE","New York","federal","Transitional Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"969","BROOKLYN METROPOLITAN DETENTION CENTER","New York","federal","Transitional Center",NA,NA,NA,NA,NA,1676,1878,10003229,NA,"Current","HIFLD","HIFLD",40.65990923,-74.00381847,36047,11232,"BROOKLYN","KINGS"
"970","CAPE VINCENT CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,856,882,10000744,"330000000076000000000","Current","HIFLD","HIFLD",44.19783321,-76.18797615,36045,13618,"CAPE VINCENT","JEFFERSON"
"971","CAYUGA CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,926,1082,10002281,"330000000076100000000","Current","HIFLD","HIFLD",42.72199926,-76.39619209,36011,13118,"MORAVIA","CAYUGA"
"972","CLINTON CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,2652,2959,10003127,"330000000073700000000","Current","HIFLD","HIFLD",44.72355588,-73.72131852,36019,12929,"DANNEMORA","CLINTON"
"973","COLLINS CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,1059,1700,10003166,"330000000074700000000","Current","HIFLD","HIFLD",42.49183185,-78.93895204,36029,14034,"COLLINS","ERIE"
"974","CORE SERVICES GROUP INC RRC BROOKLYN","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,40.7030629,-73.9904596,36047,11201,"BROOKLYN",NA
"975","COXSACKIE CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,901,900,10003188,"330000000071900000000","Current","HIFLD","HIFLD",42.34343205,-73.83578762,36039,12051,"COXSACKIE","GREENE"
"976","DOWNSTATE CORRECTIONAL FACILITY","New York","state","Reception Center","Max","A","M",NA,NA,1196,NA,10003199,"330000000073400000000","Current","HIFLD",NA,41.53235271,-73.94553439,36027,12524,"FISHKILL","DUTCHESS"
"977","EASTERN CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,900,1100,10003195,"330000000072100000000","Current","HIFLD","HIFLD",41.74152254,-74.361827,36111,12458,"NAPANOCH","ULSTER"
"978","EDGECOMBE RESIDENTIAL TREATMENT FACILITY","New York","state","Transitional Center","Min","A","B",NA,NA,125,NA,10003233,"330000000073100000000","Current","HIFLD",NA,40.83627181,-73.93783442,36061,10032,"NEW YORK","NEW YORK"
"979","ELMIRA CORRECTIONAL FACILITY","New York","state","Reception Center","Max","A","M",NA,NA,1800,1856,10003192,"330000000073500000000","Current","HIFLD","HIFLD",42.11483772,-76.83129164,36015,14901,"ELMIRA","CHEMUNG"
"980","OTISVILLE FEDERAL CORRECTIONAL INSTITUTION","New York","federal","Prison",NA,NA,NA,NA,NA,NA,NA,NA,"336036666070100000000","Current",NA,NA,NA,NA,36071,NA,NA,NA
"981","RAY BROOK FEDERAL CORRECTIONAL INSTITUTION","New York","federal","Prison",NA,NA,NA,NA,NA,NA,NA,NA,"336016666070100000000","Current",NA,NA,NA,NA,36031,NA,NA,NA
"982","FISHKILL CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,1635,1800,10003198,"330000000070800000000","Current","HIFLD","HIFLD",41.52315588,-73.95039699,36027,12508,"BEACON","DUTCHESS"
"983","FIVE POINTS CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,1259,1550,10000754,"330000000078200000000","Current","HIFLD","HIFLD",42.71197819,-76.84040036,36099,14541,"ROMULUS","SENECA"
"984","FRANKLIN CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,1453,1730,10003132,"330000000075700000000","Current","HIFLD","HIFLD",44.86892746,-74.31343704,36033,12953,"MALONE","FRANKLIN"
"985","GEO CARE LLC RCC BRONX","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,36005,NA,NA,NA
"986","GOUVERNEUR CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,976,800,10003122,"330000000077000000000","Current","HIFLD","HIFLD",44.34018935,-75.441885,36089,13642,"GOUVERNEUR","ST LAWRENCE"
"987","GOWANDA CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,1490,2300,10003167,"330000000077800000000","Current","HIFLD","HIFLD",42.4869841,-78.935972,36029,14070,"GOWANDA","ERIE"
"988","GREAT MEADOW CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,1649,1663,10003141,"330000000070700000000","Current","HIFLD","Public Records",43.45758749,-73.43299875,36115,12821,"COMSTOCK","WASHINGTON"
"989","GREEN HAVEN CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,2038,2170,10001504,"330000000071200000000","Current","HIFLD","HIFLD",41.58036953,-73.71652393,36027,12582,"STORMVILLE","DUTCHESS"
"990","GREENE CORRECTIONAL FACILITY","New York","state","Prison","Max/Med","A","M",NA,NA,1648,1582,10003189,"330000000075100000000","Current","HIFLD","HIFLD",42.34654177,-73.82226295,36039,12051,"COXSACKIE","GREENE"
"991","GROVELAND CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,1054,1106,10000756,"330000000074800000000","Current","HIFLD","HIFLD",42.68250093,-77.83673449,36051,14556,"SONYEA","LIVINGSTON"
"992","HALE CREEK CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,NA,480,NA,"330000000077300000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"993","HORIZON HOUSE RRC ALBANY","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"994","HUDSON CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,131,402,10000761,"330000000070100000000","Current","HIFLD","HIFLD",42.24458968,-73.79309841,36021,12534,"HUDSON","COLUMBIA"
"995","LAKEVIEW CORRECTIONAL FACILITY","New York","state","Prison","Min","A","M",NA,NA,660,1100,10000759,"330000000076200000000","Current","HIFLD","HIFLD",42.40795174,-79.43456768,36013,14716,"BROCTON","CHAUTAUQUA"
"996","MARCY CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,1148,1522,10000751,"330000000076300000000","Current","HIFLD","HIFLD",43.160718,-75.3079037,36065,13403,"MARCY","ONEIDA"
"997","NEW YORK METROPOLITAN CORRECTIONAL CENTER","New York","federal","Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,36047,NA,NA,NA
"998","MDC BROOKLYN","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,36047,NA,NA,NA
"999","MIDSTATE CORRECTIONAL FACILITY","New York","state","Prison","Med/Min","A","M",NA,NA,1584,1754,10003152,"330000000075000000000","Current","HIFLD","HIFLD",43.1658393,-75.2962775,36065,13403,"MARCY","ONEIDA"
"1000","MOHAWK WALSH REGIONAL MEDICAL UNIT","New York","state","Prison Unit","Med","A","M",NA,NA,1389,112,10003149,"330000000076800000000","Current","HIFLD","HIFLD",43.18104177,-75.48185145,36065,13442,"ROME","ONEIDA"
"1001","MORIAH SCHOCK INCARCERATION CORRECTIONAL FACILITY","New York","state","Prison","Min","A","M",NA,NA,187,300,10003136,"330000000076400000000","Current","HIFLD","HIFLD",44.10750004,-73.53324903,36031,12956,"MINEVILLE","ESSEX"
"1002","NEW YORK CITY JAILS","New York","county","Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,40.79111,-73.88278,36047,11370,"EAST ELMHURST",NA
"1003","NEW YORK METROPOLITAN CORRECTIONAL CENTER","New York","federal","Prison",NA,NA,NA,NA,NA,767,474,10003235,NA,"Current","HIFLD","HIFLD",40.71320853,-74.00156285,36061,10007,"NEW YORK","NEW YORK"
"1004","OGDENSBURG CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,584,NA,10003124,"330000000074000000000","Current","HIFLD",NA,44.72502826,-75.44594023,36089,13669,"OGDENSBURG","ST LAWRENCE"
"1005","ORLEANS CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,993,1082,10003144,"330000000075300000000","Current","HIFLD","HIFLD",43.24376059,-78.22018537,36073,14411,"ALBION","ORLEANS"
"1006","OTISVILLE CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,581,700,10003204,"330000000071300000000","Current","HIFLD","HIFLD",41.48739785,-74.52517791,36071,10963,"OTISVILLE","ORANGE"
"1007","OTISVILLE FEDERAL CORRECTIONAL INSTITUTION","New York","federal","Prison",NA,NA,NA,NA,NA,588,897,10003202,"336036666070100000000","Current","HIFLD","HIFLD",41.49661894,-74.52754345,36071,10963,"OTISVILLE","ORANGE"
"1008","QUEENSBORO CORRECTIONAL FACILITY","New York","state","Prison","Min","A","M",NA,NA,217,400,10003227,"330000000071800000000","Current","HIFLD","HIFLD",40.7426108,-73.93448221,36081,11101,"LONG ISLAND CITY","QUEENS"
"1009","RAY BROOK FEDERAL CORRECTIONAL INSTITUTION","New York","federal","Prison",NA,NA,NA,NA,NA,628,749,10003135,"336016666070100000000","Current","HIFLD","HIFLD",44.290541,-74.0933149,36031,12977,"RAY BROOK","ESSEX"
"1010","RIVERVIEW CORRECTIONAL FACILITY","New York","state","Prison","Med","A","M",NA,NA,853,882,10003125,"330000000076600000000","Current","HIFLD","HIFLD",44.71648792,-75.4343153,36089,13669,"OGDENSBURG","ST LAWRENCE"
"1011","ROCHESTER CORRECTIONAL FACILITY","New York","state","Transitional Center","Min","A","M",NA,NA,64,70,10003148,"330000000072800000000","Current","HIFLD","HIFLD",43.14379574,-77.61671589,36055,14608,"ROCHESTER","MONROE"
"1012","RRC BROOKLYN","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"1013","SHAWANGUNK CORRECTIONAL FACILITY","New York","state","Prison","Max","A","M",NA,NA,541,550,10000763,"330000000075400000000","Current","HIFLD","HIFLD",41.6364732,-74.1631719,36111,12589,"WALLKILL","ULSTER"
